Fecha,Calorias_(kcal),Distancia_(m),Frecuencia_cardiaca_media_(ppm),Frecuencia cardiaca maxima (ppm),Frecuencia cardiaca minima (ppm),Latitud baja (grados),Longitud baja (grados),Latitud alta (grados),Longitud alta (grados),Velocidad media (m/s),Velocidad maxima (m/s),Velocidad minima (m/s),Recuento de pasos,Peso medio (kg),Peso maximo (kg),Peso minimo (kg),Bicicleta duracion (ms),Inactivo duracion (ms),Andar duracion (ms),Correr duracion (ms),Dormir_duracion_(ms),Suenoo ligero duracion (ms),Sueno profundo duracion (ms),Desvelo duracion (ms)
2018-03-31,1156.7147569444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,2780.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-02,2780.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-03,2780.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-04,2780.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-05,2780.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-06,2973.3398584230986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8040000.0,1440000.0,0.0
2018-04-07,11706.93088341843,15421.970113608415,0.0,0.0,0.0,9.079106330871582,-79.40689849853516,9.10351276397705,-79.35060119628906,0.3314805998708347,6.726072788238525,0.0,19729.0,189.0,189.0,189.0,839158.0,8382817.0,27364258.0,10080000.0,0.0,18840000.0,3300000.0,1140000.0
2018-04-08,8471.847238889408,10083.267432358683,0.0,0.0,0.0,9.079058647155762,-79.41475677490234,9.10669994354248,-79.38951873779297,0.2056711987922906,1.7400000095367432,0.0,14269.0,189.0,189.0,189.0,0.0,31130199.0,18424741.0,7200000.0,0.0,20940000.0,5220000.0,1140000.0
2018-04-09,5095.7518925369395,6629.429252386092,0.0,0.0,0.0,9.019709587097168,-79.53218841552734,9.105813026428224,-79.39957427978516,0.9330230778978194,17.0,0.2447403073310852,12468.0,0.0,0.0,0.0,0.0,65904219.0,13836157.0,0.0,0.0,0.0,0.0,0.0
